"active_ingredient","dosage_form","strength","subsidy_class","clinical_indication"
"Dexamethasone","Tablet","500 mcg, 4 mg","SDL",""
"Dexamethasone Phosphate","Injection","4 mg/mL","SDL",""
"Dexmedetomidine","Concentrate for infusion","200 mcg/2 mL","SDL",""
"Dextromethorphan Hydrobromide","Syrup","15 mg/5 mL","SDL",""
"Dextromethorphan Hydrobromide","Tablet","15 mg","SDL",""
"Dextrose & Potassium Chloride","Infusion","Dextrose 5% + Potassium Chloride 0.15%","SDL",""
"Dextrose & Sodium Chloride","Infusion","Dextrose 2.5% + Sodium Chloride 0.45%, Dextrose 5% + Sodium Chloride 0.2%, Dextrose 5% + Sodium Chloride 0.45%, Dextrose 5% + Sodium Chloride 0.9%","SDL",""
"Dextrose Monohydrate","Infusion","5%, 10%, 20%, 50%","SDL",""
"Dextrose Monohydrate","Injection","50%","SDL",""
"Dextrose, Potassium Chloride & Sodium Chloride","Infusion","Dextrose 5% + Potassium Chloride 0.15% + Sodium Chloride 0.33%, Dextrose 5% + Potassium Chloride 0.22% + Sodium Chloride 0.45%, Dextrose 5% + Potassium Chloride 0.30% + Sodium Chloride 0.45%, Dextrose 5% + Potassium Chloride 0.15% + Sodium Chloride 0.45%, Dextrose 5% + Potassium Chloride 0.15% + Sodium Chloride 0.9%","SDL",""
"Diazepam","Enema","5 mg/2.5 mL","SDL",""
"Diazepam","Injection","5 mg/mL","SDL",""
"Diazepam","Tablet","2 mg, 5 mg, 10 mg","SDL",""
"Dibasic Sodium Phosphate & Monobasic Sodium Phosphate","Enema","Dibasic Sodium Phosphate 7 g/118 mL + Monobasic Sodium Phosphate 19 g/118 mL, Dibasic Sodium Phosphate 3.5 g/59 mL + Monobasic Sodium Phosphate 9.5 g/59 mL","SDL",""
"Diclofenac Sodium","Enteric-coated tablet","25 mg, 50 mg","SDL",""
"Diclofenac Sodium","Injection","25 mg/mL","SDL",""
"Diclofenac Sodium","Rectal suppository","12.5 mg, 25 mg, 50 mg","SDL",""
"Diclofenac Sodium","Gel","1%","SDL",""
"Diethylcarbamazine Citrate","Tablet","50 mg","SDL",""
"Digoxin","Injection","250 mcg/mL","SDL",""
"Digoxin","Oral solution","50 mcg/mL","SDL",""
"Digoxin","Tablet","62.5 mcg, 250 mcg","SDL",""
"Digoxin-specific Antibody Fragments","Injection","40 mg","SDL",""
"Diltiazem Hydrochloride","Injection","10 mg, 50 mg","SDL",""
"Diltiazem Hydrochloride","Sustained-release capsule","90 mg, 100 mg, 200 mg","SDL",""
"Diltiazem Hydrochloride","Tablet","30 mg, 60 mg","SDL",""
"Dimercaprol","Injection","50 mg/mL","SDL",""
"Dimercaprol & Butacaine","Injection","Dimercaprol 200 mg/2 mL + Butacaine 1 mg/2 mL","SDL",""
"Diosmin & Hesperidin","Tablet","Diosmin 450 mg + Hesperidin 50 mg","SDL",""
"Diphenoxylate & Atropine Sulfate","Tablet","Diphenoxylate Hydrochloride 2.5 mg + Atropine Sulfate 25 mcg","SDL",""
"Diphtheria & Tetanus Vaccine","Injection","Diphtheria Toxoid Vaccine minimum 2 international units/0.5 mL + Tetanus Toxoid Vaccine minimum 20 international units/0.5 mL","SDL",""
"Diphtheria Antitoxin","Injection","10,000 units","SDL",""
"Dipyridamole","Tablet","25 mg, 75 mg","SDL",""
"Disodium Edetate","Eye drops","0.38%, 3%","SDL",""
"Dobutamine","Concentrate for infusion","250 mg/20 mL","SDL",""
"Docetaxel","Infusion","20 mg, 80 mg, 160 mg","SDL",""
"Dolutegravir","Tablet","50 mg","SDL",""
"Dolutegravir & Lamivudine","Tablet","Dolutegravir 50 mg + Lamivudine 300 mg"," SDL",""
"Donepezil Hydrochloride","Oral disintegrating tablet","5 mg, 10 mg","MAF","For patients with mild to moderately severe Alzheimer's Disease who have swallowing difficulties and are unable to receive a film-coated tablet"
"Donepezil Hydrochloride","Tablet","5 mg, 10 mg","SDL",""
"Dopamine Hydrochloride","Concentrate for infusion","200 mg/5 mL","SDL",""
"Dostarlimab (Jemperli)","Concentrate for solution for infusion","500 mg/10 mL","MAF","Dostarlimab in combination with platinum-based chemotherapy, followed by dostarlimab as monotherapy, for untreated mismatch repair deficient (dMMR)/microsatellite instability-high (MSI-H) primary advanced or recurrent endometrial cancer. Treatment with dostarlimab should be stopped at 3 years, or earlier if disease progresses."
"Dothiepin Hydrochloride","Capsule","25 mg","SDL",""
"Doxorubicin Hydrochloride","Injection","10 mg, 50 mg","SDL",""
"Doxorubicin Hydrochloride (pegylated liposome)","Concentrate for infusion","20 mg/10 mL","SDL",""
"Doxycycline","Capsule","100 mg","SDL",""
"Droperidol","Injection","2.5 mg/mL","SDL",""
"Dulaglutide (Trulicity)","Prefilled pen","0.75 mg, 1.5 mg","MAF","For the treatment of type 2 diabetes mellitus 

1) As a triple therapy in combination with two oral anti-diabetic drug (OAD) therapies for patients with inadequate glycaemic control despite treatment with optimal doses of dual OAD therapy, or as a dual therapy in combination with one OAD therapy if a dual OAD therapy is contraindicated or not tolerated; and 

2) In combination with insulin and metformin, unless metformin is contraindicated or not tolerated"
"Durvalumab (Imfinzi)","Concentrate for infusion","120 mg/2.4 mL, 500 mg/10 mL","MAF","1) Consolidation treatment of patients with locally advanced, unresectable NSCLC whose disease has not progressed following platinum-based chemo-radiation therapy.

Treatment should be continued until disease progression or unacceptable toxicity or for a maximum of 12 months. Durvalumab retreatment is allowed at time of progression for up to 1 additional year if the initial treatment was stopped for reasons other than disease progression.

2) Durvalumab in combination with a platinum agent and etoposide, for untreated extensive-stage small-cell lung cancer.

3) Durvalumab in combination with a single priming dose of tremelimumab for treating unresectable hepatocellular carcinoma in patients who have not received prior systemic therapy, and who have adequate liver function as assessed by the Child-Pugh scoring system.

4) Treatment of unresectable hepatocellular carcinoma in patients who had received a priming dose of tremelimumab and have adequate liver function as assessed by the Child-Pugh scoring system."
"Dutasteride","Capsule","0.5 mg","SDL",""
"Dydrogesterone","Tablet","10 mg","SDL",""
"Eculizumab (Soliris)","Concentrate for solution for infusion","300 mg/30 mL","MAF","Additional clinical criteria applies

1) As monotherapy for initial treatment of paroxysmal nocturnal haemoglobinuria (PNH) in adults and children.

2) As monotherapy for paroxysmal nocturnal haemoglobinuria 
(PNH) in adults and children who are switching from another complement inhibitor to eculizumab.  

3) As monotherapy for initial treatment of atypical haemolytic uraemic syndrome (aHUS) in adults and children. 

4) As monotherapy for atypical haemolytic uraemic syndrome (aHUS) in adults and children who are switching from another complement inhibitor to eculizumab. 

5) As monotherapy for atypical haemolytic uraemic syndrome (aHUS) in adults and children who experience a relapse after discontinuing complement C5 inhibitor therapy."
"Efavirenz","Tablet","200 mg, 600 mg","SDL",""
"Eltrombopag","Tablet","25 mg, 50 mg","MAF","1) Treatment of immune thrombocytopenia lasting six months or longer from diagnosis in patients who are intolerant or refractory to other treatments (e.g. corticosteroids, immunosuppressants). 

2) Treatment of severe aplastic anaemia in patients who are refractory to immunosuppressive therapy (comprising horse anti-thymocyte globulin plus ciclosporin for at least 3 months) and have marrow cellularity <25% (or 25 to 50% with <30% residual haematopoietic cells), with at least 2 of the following:

• neutrophils <0.5 x 109/l

• platelets <20 x 109/l

• reticulocyte count <20 x 109/l (<60 x 109/l for automated reticulocyte counting)"
"Empagliflozin"," Tablet"," 10 mg, 25 mg"," SDL",""
"Emtricitabine & Tenofovir Disoproxil Fumarate","Tablet","Emtricitabine 200 mg + tenofovir disoproxil fumarate 300 mg","MAF","In combination with other antiretroviral agents for the treatment of HIV-1 infection"
"Emulsifying Ointment","Ointment","-","SDL",""
"Enalapril Maleate","Tablet","5 mg, 10 mg, 20 mg","SDL",""
"Enoxaparin Sodium (Clexane)","Injection","20 mg/0.2 mL, 40 mg/0.4 mL, 60 mg/0.6 mL, 80 mg/0.8 mL","SDL",""
"Entacapone","Tablet","200 mg","SDL",""
"Entecavir","Tablet","0.5 mg","SDL",""
"Entecavir","Tablet","1 mg","MAF","Treatment of nucleos(t)ide-naïve patients with HBeAg-positive and HBeAg-negative chronic hepatitis B infection and evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (ALT or AST) or histologically active disease"
"Enzalutamide","Capsule","40 mg","MAF","1)  In combination with androgen deprivation therapy (ADT) for treating patients with high-risk non-metastatic castration-resistant prostate cancer (nmCRPC).

2) In combination with androgen deprivation therapy (ADT) for treating patients with metastatic hormone sensitive prostate cancer (mHSPC). 

3) In combination with androgen deprivation therapy (ADT) for treating patients with metastatic castration-resistant prostate cancer (mCRPC)."
"Ephedrine Sulfate","Injection","30 mg/mL","SDL",""
"Epirubicin","Injection","50 mg/25 mL","SDL",""
"Epoetin Alfa (Eprex)","Prefilled syringe","4,000 international units/0.4 mL, 10,000 international units/mL, 40,000 international units/mL","SDL",""
"Epoetin Beta (Recormon)","Prefilled syringe","2,000 international units/0.3 mL, 4,000 international units/0.3 mL, 10,000 international units/0.6 mL, 30,000 international units/0.6 mL","SDL",""
"Epoprostenol (Veletri)","Infusion","1.5 mg","MAF","Treatment of pulmonary arterial hypertension (idiopathic or heritable PAH or PAH associated with connective tissue diseases) in patients with WHO Functional Class III-IV symptoms"
"Eptifibatide","Injection","20 mg/10 mL","SDL",""
"Eptifibatide","Infusion","75 mg/100 mL","SDL",""
"Ergometrine Maleate","Injection","500 mcg/mL","SDL",""
"Ergotamine & Caffeine","Tablet","Caffeine 100 mg + Ergotamine Tartrate 1 mg","SDL",""
"Eribulin mesylate","Injection","1 mg/2 mL","MAF","1) Treatment of locally advanced or metastatic breast cancer in patients whose disease has progressed after at least two chemotherapy regimens for advanced disease.

2) Treatment of patients with unresectable liposarcoma who have received prior anthracycline containing therapy (unless unsuitable) for advanced or metastatic disease."
"Erlotinib ","Tablet","100 mg, 150 mg","SDL",""
"Ertapenem","Injection","1 g","SDL",""
"Erythromycin (as Ethyl Succinate)","Tablet","400 mg","SDL",""
"Erythromycin (as Ethyl Succinate)","Oral suspension","200 mg/5 mL","SDL",""
"Erythromycin (as Lactobionate)","Infusion","500 mg, 1 g","SDL",""
"Erythromycin Stearate","Enteric-coated tablet","250 mg","SDL",""
"Estradiol","Vaginal tablet","10 mcg","SDL",""
"Etanercept (Enbrel)","Prefilled syringe","25 mg/0.5 mL, 50 mg/mL","MAF","Additional clinical criteria applies

1) Treatment of adult patients with non-radiographic axial spondyloarthritis

2) Treatment of juvenile idiopathic arthritis

3) Treatment of adult patients with chronic plaque psoriasis"
"Etanercept (Enbrel)","Injection","25 mg/mL","MAF","Additional clinical criteria applies

1) Treatment of adult patients with non-radiographic axial spondyloarthritis

2) Treatment of juvenile idiopathic arthritis

3) Treatment of adult patients with chronic plaque psoriasis"
"Ethambutol Hydrochloride","Tablet","100 mg, 400 mg","SDL",""
"Ethanol","Injection","96%, 100%","SDL",""
"Ethionamide","Tablet","250 mg","SDL",""
"Ethyl Chloride","Topical spray","88 g/100 mL","SDL",""
"Etoposide","Capsule","50 mg","SDL",""
"Etoposide","Concentrate for infusion","100 mg/5 mL","SDL",""
"Etoricoxib","Tablet","60 mg, 90 mg, 120 mg","SDL",""
"Etravirine","Tablet","200 mg","SDL ",""
"Everolimus","Tablet","0.25 mg, 0.75 mg","SDL ",""
"Everolimus","Tablet","2.5 mg, 5 mg, 10 mg","MAF","1) Treatment of unresectable or metastatic, well-differentiated, non-functional neuroendocrine tumours of gastrointestinal or lung origin and with progressive disease.

2) Treatment of unresectable, locally advanced or metastatic neuroendocrine tumours of pancreatic origin and with progressive disease."
"Evolocumab (Repatha)","Solution for injection in prefilled autoinjector","140 mg/mL","MAF","$88"
"Exemestane","Tablet","25 mg","SDL",""
"Extended half-life recombinant factor VIII (Rurioctocog alfa pegol) (Adynovate)","Injection","250 international units, 500 international units, 1000 international units, 1500 international units, 2000 international units, 3000 international units"," SDL",""
"Ezetimibe","Tablet","10 mg","SDL",""
"Factor Eight Inhibitor Bypassing Activity (FEIBA)","Injection","500 units","SDL",""
"Famotidine","Tablet","20 mg","SDL",""
"Famotidine","Injection (preservative-free)","20 mg/2 mL","SDL",""
"Faricimab (Vabysmo)","Solution for injection","6 mg/ 0.05 mL","MAF","1) Treatment of adults with visual impairment due to neovascular (wet) age-related macular degeneration.

2) Treatment of adults with visual impairment due to diabetic macular oedema."
"Fedratinib","Capsule","100 mg","MAF","For the treatment of splenomegaly and/or disease related symptoms in patients with intermediate-2 or high-risk primary myelofibrosis, post-polycythemia vera myelofibrosis or post-essential thrombocytopenia myelofibrosis, including patients who have been previously exposed to ruxolitinib."
"Fenofibrate","Capsule","100 mg, 300 mg","SDL",""
"Fentanyl","Injection","100 mcg/2 mL, 500 mcg/10 mL","SDL",""
"Fentanyl","Transdermal patch","12 mcg/hr, 25 mcg/hr, 50 mcg/hr","SDL",""
"Ferric Carboxymaltose","Injection","500 mg/10 mL","SDL",""
"Ferrous Gluconate, Multivitamins & Minerals","Capsule","Ferrous Gluconate 250 mg + Vit B12 7.5 mcg + Vit C 50 mg + Folic Acid 1 mg + Sorbitol 25 mg + Copper Sulfate 200 mcg + Manganese Sulfate 200 mcg","SDL",""
"Fexofenadine","Oral suspension","6 mg/mL","MAF","1. For relief of symptoms associated with seasonal allergic rhinitis in adults and children 2 years of age or older.

2. Treatment of uncomplicated skin

manifestations of chronic idiopathic urticaria in adults and children 6 months of age and older."
"Filgrastim","Injection","30 million units/0.5 mL (300 mcg/0.5 mL), 30 million units/mL (300 mcg/mL)","SDL",""
"Finasteride","Tablet","5 mg","SDL",""
"Finerenone","Tablet","10 mg, 20 mg","MAF","Additional clinical criteria applies

As an add-on therapy for adults with chronic kidney disease and albuminuria associated with type 2 diabetes:
• who are receiving concomitant optimal standard treatment which includes an angiotensin-converting enzyme (ACE) inhibitor or angiotensin II receptor blocker (ARB) at maximum tolerated dose in combination with a sodium-glucose co-transporter 2 (SGLT2) inhibitor, unless contraindicated or not tolerated, and
• who have estimated glomerular filtration rate (eGFR) ≥25 mL/min/1.73m2 and urine albumin-to-creatinine ratio (UACR) ≥200 mg/g (20 mg/mmol) at the start of treatment."
"Fingolimod","Capsule","0.25 mg, 0.5 mg","MAF","Treatment of adults and children with relapsing-remitting multiple sclerosis."
"Flecainide Acetate","Tablet","100 mg","SDL",""
"Fluconazole","Capsule","50 mg, 100 mg, 150 mg","SDL",""
"Fluconazole","Infusion","100 mg/50 mL","SDL",""
"Fludarabine Phosphate","Injection","50 mg","SDL",""
"Fludrocortisone Acetate","Tablet","0.1 mg","SDL",""
"Flumazenil","Injection","0.1 mg/mL","SDL",""
"Fluocinolone Acetonide","Cream","0.003125%, 0.00625%, 0.0125%, 0.025%","SDL",""
"Fluorescein Sodium","Injection","10%","SDL",""
"Fluorescein Sodium","Single-use eye drops","2%","SDL",""
"Fluorouracil","Injection","500 mg/10 mL, 1 g/20 mL, 5 g/100 mL","SDL",""
"Fluoxetine","Capsule","10 mg, 20 mg","SDL",""
"Flupenthixol Decanoate","Injection","20 mg/mL, 40 mg/2 mL","SDL",""
"Fluphenazine Decanoate","Injection","25 mg/mL","SDL",""
"Fluticasone Furoate, Umeclidinium & Vilanterol
(Trelegy Ellipta)","Inhalation powder","Fluticasone Furoate 100 mcg/dose + Umeclidinium 62.5 mcg/dose + Vilanterol 25 mcg/dose (30 inhalations), Fluticasone Furoate 200 mcg/dose + Umeclidinium 62.5 mcg/dose + Vilanterol 25 mcg/dose (30 inhalations)","SDL",""
"Fluticasone Furoate +
 Vilanterol (Relvar Ellipta)","Inhalation powder","Fluticasone Furoate 100 mcg/dose + Vilanterol 25 mcg/dose, Fluticasone Furoate 200 mcg/dose + Vilanterol 25 mcg/dose (30 inhalations) ","SDL",""
"Fluticasone Propionate","Inhalation aerosol","50 mcg/dose, 125 mcg/dose","SDL",""
"Fluticasone Propionate +
 Salmeterol (Seretide Evohaler)","Inhalation aerosol","Fluticasone Propionate 50 mcg/dose + Salmeterol 25 mcg/dose (120 inhalations), Fluticasone Propionate 125 mcg/dose + Salmeterol 25 mcg/dose (120 inhalations), Fluticasone Propionate 250 mcg/dose + Salmeterol 25 mcg/dose (120 inhalations)","SDL",""
"Fluticasone Propionate +
 Salmeterol (Seretide Accuhaler)","Inhalation Powder","Fluticasone Propionate 100 mcg/dose + Salmeterol 50 mcg/dose (60 inhalations), Fluticasone Propionate 250 mcg/dose + Salmeterol 50 mcg/dose (60 inhalations), Fluticasone Propionate 500 mcg/dose + Salmeterol 50 mcg/dose (60 inhalations)","SDL",""
"Fluvoxamine Maleate","Tablet","50 mg","SDL",""
"Folic Acid","Tablet","400 mcg, 5 mg","SDL",""
"Folinic Acid","Injection","10 mg/mL","SDL",""
"Fruquintinib","Capsule","1 mg, 5 mg","MAF","Treatment of patients with metastatic colorectal cancer who have been previously treated with, or are not considered candidates for, available therapies including fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, anti-VEGF therapy, and if RAS wild-type, anti-EGFR therapy."
"Fulvestrant ","Injection","250 mg/5 mL","SDL",""
"Furosemide","Injection","10 mg/mL","SDL",""
"Furosemide","Tablet","40 mg","SDL",""
"Gabapentin","Capsule","100 mg, 300 mg, 400 mg","SDL",""
"Galcanezumab (Emgality)","Solution for injection in
pre-filled pen","120 mg/mL","MAF","Additional clinical criteria applies

Prophylaxis of migraine in adults who have at least four migraine days a month prior to commencement of treatment with galcanezumab. Patients must have experienced an inadequate response, intolerance, or a contraindication to at least three migraine prophylactic medications."
"Ganciclovir","Infusion","500 mg","SDL",""
"Gefitinib","Tablet","250 mg","SDL",""
"Gelatin Succinylated & Sodium Chloride","Infusion","Gelatin Succinylated 4 g/100 mL + Sodium Chloride 0.701 g/100 mL","SDL",""
"Gemcitabine","Infusion","200 mg, 1000 mg, 2000 mg","SDL",""
"Gemfibrozil","Capsule","300 mg","SDL",""
"Gemtuzumab ozogamicin (Mylotarg)","Concentrate for infusion","5 mg","MAF","In combination with daunorubicin and cytarabine for patients with previously untreated de novo CD33-positive acute myeloid leukaemia (AML), if they:

• do not have acute promyelocytic leukaemia, 

• only start induction therapy while waiting for cytogenetic test results or after confirming favourable, intermediate or unknown (due to inconclusive test results) cytogenetic risk, and 

• start consolidation therapy after confirming favourable, intermediate, or unknown cytogenetic risk."
"Gentamicin","Injection","40 mg/mL","SDL",""
"Gentamicin","Eye drops","0.30%","SDL",""
"Gilteritinib fumarate","Tablet","40 mg","MAF","Treatment of FLT-3 mutation positive relapsed / refractory acute myeloid leukaemia (AML).

Gilteritinib is not recommended as maintenance therapy for patients after HSCT."
"Glibenclamide","Tablet","5 mg","SDL",""
"Gliclazide","Tablet","80 mg","SDL",""
"Glipizide","Tablet","5 mg","SDL",""
"Glucagon","Injection","1 mg","SDL",""
"Glycerol","Rectal suppository","2 g","SDL",""
"Glycerol, Methyl Salicylate, Sodium Salicylate & Thymol Compound","Mouthwash","Glycerol 10% + Methyl Salicylate 0.03% + Sodium Salicylate 0.52% + Thymol 0.05%","SDL",""
"Glyceryl Trinitrate","Oral spray","0.4 mg/dose","SDL",""
"Glyceryl Trinitrate","Patch","5 mg, 10 mg","SDL",""
"Glyceryl Trinitrate","Sublingual tablet","0.5 mg","SDL",""
"Glycine","Irrigation solution","1.50%","SDL",""
"Golimumab (Simponi)","Prefilled syringe","50 mg/0.5 mL, 100 mg/mL","MAF","Additional clinical criteria applies

1) Treatment of adult patients with rheumatoid arthritis

2) Treatment of adult patients with ankylosing spondylitis

3) Treatment of adult patients with psoriatic arthritis

4) Treatment of adult patients with non-radiographic axial spondyloarthritis

5) Treatment of adult patients with ulcerative colitis"
"Goserelin","Depot injection","3.6 mg, 10.8 mg","MAF","For cancer treatment"
"Granisetron","Tablet","1 mg","SDL",""
"Granisetron","Infusion","1 mg/mL, 3 mg/3 mL","SDL",""
"Griseofulvin","Tablet","125 mg, 500 mg","SDL",""
"Guaifenesin","Syrup","100 mg/5 mL","SDL",""
"Haemodialysis Concentrate 35X (Bicarbonate)","Solution (comprised 2 separate 10 L canisters: acidic & basic)","Acidic concentrate: KCl 5.5 g/L, NaCl 161.0 g/L, CaCl2.2H2O 9.7 g/L, MgCl2.6H2O 3.7 g/L, CH3COOH (glacial) 8.8 g/L; Basic concentrate: NaCl 30.5 g/L, HCO3- 66.0 g/L; Final diluted solution contains: Na+  140 mmol/L, K+  2.0 mmol/L, Ca2+  1.8 mmol/L, Mg2+  0.5 mmol/L, Cl- 107.2 mmol/L, CH3COO- 4.0 mmol/L, HCO3- 35.0 mmol/L","SDL",""
"Haloperidol","Injection","5 mg/mL","SDL",""
"Haloperidol","Oral solution","2 mg/mL","SDL",""
"Haloperidol","Tablet","0.5 mg, 1.5 mg, 5 mg","SDL",""
"Heparin Sodium","Injection","1,000 units/mL, 5,000 units/mL, 25,000 units/5 mL","SDL",""
"Heparinised Saline","Injection (in sodium chloride 0.9%, preservative-free)","50 international units/5 mL","SDL",""
"Hepatitis B Immunoglobulin (Human)","Injection","≥ 200 international units/mL (adults), ≥100 international units/mL (children)","SDL",""
"Homatropine Hydrobromide","Eye drops","2%","SDL",""
"Human Fibrinogen (Fibryga)","Injection","1 g","SDL",""
"Human Hemin","Infusion","250 mg/10 mL","MAF","Treatment of acute attacks of hepatic porphyria (acute intermittent porphyria, porphyria variegata, hereditary coproporphyria)"
"Human plasma coagulation factor XIII (pd-FXIII) ","Injection","250 IU","MAF","Routine prophylaxis or treatment of bleeding episodes and peri-operative management of surgical bleeding in patients with congenital factor XIII deficiency."
"Hydralazine Hydrochloride","Tablet","10 mg, 25 mg, 50 mg","SDL",""
"Hydralazine Hydrochloride","Injection","20 mg/mL","SDL",""
"Hydrochlorothiazide","Tablet","25 mg","SDL",""
"Hydrocolloid (carboxymethylcellulose-containing)","Dressing","-","SDL",""
"Hydrocolloid (carboxymethylcellulose-containing)","Gel","-","SDL",""
"Hydrocortisone","Cream","0.5%, 1%","SDL",""
"Hydrocortisone","Ointment","1%","SDL",""
"Hydrocortisone","Tablet","10 mg","SDL",""
"Hydrocortisone (as Sodium Succinate)","Injection","100 mg","SDL",""
"Hydrocortisone Acetate","Rectal foam","10%","SDL",""
"Hydrocortisone Acetate & Clioquinol","Cream","Hydrocortisone Acetate 1% + Clioquinol 3%","SDL",""
"Hydrogen Peroxide","Topical solution","3%","SDL",""
"Hydroxocobalamin","Injection","1 mg/mL","MAF","Treatment of cobalamin-related remethylation pathway defect causing cobalamin C deficiency"
"Hydroxychloroquine Sulphate","Tablet","200 mg","SDL",""
"Hydroxychloroquine Sulphate","Tablet","200 mg","SDL",""
"Hydroxyprogesterone Caproate","Injection","250 mg/mL","SDL",""
"Hydroxyurea","Capsule","500 mg","SDL",""
"Hydroxyzine Hydrochloride","Tablet","10 mg, 25 mg","SDL",""
"Hydroxyzine Hydrochloride","Syrup","10 mg/5 mL","SDL",""
"Hydroxyzine Hydrochloride","Capsule","10 mg, 25 mg","SDL",""
"Hyoscine Butylbromide","Injection","20 mg/mL","SDL",""
"Hyoscine Butylbromide","Tablet","10 mg","SDL",""
"Hypromellose","Eye drops","0.30%","SDL",""
"Ibuprofen","Oral liquid","100 mg/5 mL","SDL",""
"Ibuprofen","Tablet","200 mg","SDL",""
"Ifosfamide","Infusion","1 g","SDL",""
"Imatinib ","Capsule","100 mg, 400 mg","SDL",""
"Imatinib ","Tablet","100 mg, 400 mg","SDL",""
"Imipenem & Cilastatin","Infusion","Imipenem 500 mg + Cilastatin 500 mg","SDL",""
"Imipramine Hydrochloride","Tablet","10 mg, 25 mg","SDL",""
"Indapamide","Tablet","2.5 mg","SDL",""
"Indometacin","Capsule","25 mg","SDL",""
"Inotuzumab ozogamicin (Besponsa)","Infusion ","1 mg","MAF","Treatment of patients with relapsed or refractory CD22 positive B-precursor acute lymphoblastic leukemia (ALL) for:

- up to a maximum of three cycles for induction in a lifetime, and

- up to three additional cycles for consolidation in a lifetime in patients who achieve a complete response after induction.

Patients with Philadelphia chromosome positive disease must have previously received a tyrosine kinase inhibitor before receiving inotuzumab.

Complete response is defined as a patient who:

a) has 5% or less bone marrow blasts; and

b) has no evidence of disease; and

c) has platelet count of more than 50,000 per microlitre; and

d) has absolute neutrophil count of more than 500 per microlitre."
"Infliximab Biosimilar (Ixifi)","Infusion","100 mg","SDL",""
"Infliximab Biosimilar (Remsima)","Infusion","100 mg","SDL",""
"Insulin Aspart (Novorapid)","Injection, penfill","100 international units/mL","MAF","Type 1 & 2 diabetes mellitus"
"Insulin Aspart (Novorapid)","Injection, prefilled pen","100 international units/mL","SDL",""
"Insulin Aspart & Insulin Aspart Protamine (Novomix)","Injection, prefilled pen","Insulin Aspart 30% + Insulin Aspart Protamine 70% 100 international units/mL","SDL",""
"Insulin Detemir (Levemir)","Injection, prefilled pen","100 international units/mL","SDL",""
"Insulin Glargine (Lantus)","Injection","100 international units/mL","SDL",""
"Insulin Glargine (Lantus)","Injection, prefilled pen","100 international units/mL","SDL",""
"Insulin Glulisine (Apidra)","Injection, prefilled pen","100 international units/mL","SDL",""
"Insulin Isophane (Human) (Insulatard)","Injection","100 international units/mL","SDL",""
"Insulin Isophane (Human) (Insulatard)","Injection, penfill","100 international units/mL","SDL",""
"Insulin Lispro (Humalog)","Injection, prefilled pen","100 international units/mL","MAF","Type 1 & 2 diabetes mellitus"
"Insulin Lispro & Insulin Lispro Protamine (HumalogMix 25)","Injection, penfill","Insulin Lispro 25% + Insulin Lispro Protamine 75% 100 international units/mL","SDL",""
"Insulin Lispro & Insulin Lispro Protamine (HumalogMix 25)","Injection, prefilled pen","Insulin Lispro 25% + Insulin Lispro Protamine 75% 100 international units/mL","MAF","Type 1 & 2 diabetes mellitus"
"Insulin Lispro & Insulin Lispro Protamine (HumalogMix 50)","Injection, prefilled pen","Insulin Lispro 50% + Insulin Lispro Protamine 50% 100 international units/mL","MAF","Type 1 & 2 diabetes mellitus"
"Insulin Soluble & Insulin Isophane (Human) (Mixtard)","Injection","Insulin Soluble 30% + Insulin Isophane 70% 100 international units/mL","SDL",""
"Insulin Soluble & Insulin Isophane (Human) (Mixtard)","Injection, penfill","Insulin Soluble 30% + Insulin Isophane 70% 100 international units/mL","SDL",""
"Insulin Soluble (Human) (Actrapid)","Injection","100 international units/mL","SDL",""
"Insulin Soluble (Human) (Actrapid)","Injection, penfill","100 international units/mL","SDL",""
"Intraperitoneal Dialysis","Solution","Dextrose 1.5%, 2.5% or 4.25% with Ca2+  1.25 mmol/L, Na+  132 mmol/L, Mg2+  0.25 mmol/L, Cl- 95 mmol/L, Lactate 40 mmol/L; Dextrose 1.5%, 2.5% or 4.25% with Ca2+  2.57 mmol/L, Na+  132 mmol/L, Mg2+  0.25 mmol/L, Cl- 96 mmol/L, Lactate 40 mmol/L","SDL",""
"Iodine","Topical solution","1.0%, 2.5%","SDL",""
"Iodine Aqueous","Oral solution","Iodine 5% + Potassium iodide 10%","SDL",""
"Ipilimumab (Yervoy)","Concentrate for infusion","50 mg/10 mL","MAF","1) Ipilimumab in combination with nivolumab for untreated intermediate- or poor-risk advanced renal cell carcinoma. The doses of nivolumab and ipilimumab should not exceed: 3mg/kg nivolumab and 1mg/kg ipilimumab every 3 weeks for 4 doses.

2) Ipilimumab in combination with nivolumab for the treatment of advanced unresectable or metastatic malignant melanoma. The doses of nivolumab and ipilimumab should not exceed: 1mg/kg nivolumab and 3mg/kg ipilimumab every 3 weeks for 4 doses."
"Ipratropium Bromide","Inhalation aerosol","20 mcg/dose","SDL",""
"Ipratropium Bromide","Nebulisation solution","0.025%","SDL",""
"Irbesartan","Tablet","150 mg, 300 mg","SDL",""
"Irinotecan Hydrochloride Trihydrate","Concentrate for infusion","100 mg/5 mL","SDL",""
"Iron (as Polymaltose)","Capsule","100 mg","SDL",""
"Iron (as Polymaltose)","Oral drops","50 mg/mL","SDL",""
"Iron (as Polymaltose)","Tablet","100 mg","SDL ",""
