"active_ingredient","dosage_form","strength","subsidy_class","clinical_indication"
"Amitriptyline Hydrochloride","Tablet","10 mg, 25 mg","SDL",""
"Amlodipine","Tablet","5 mg, 10 mg","SDL",""
"Amoxicillin","Capsule","250 mg, 500 mg","SDL",""
"Amoxicillin","Oral suspension","125 mg/5 mL, 250 mg/5 mL","SDL",""
"Amoxicillin & Clavulanic Acid","Injection","Amoxicillin 1 g + Clavulanic Acid 200 mg","SDL",""
"Amoxicillin & Clavulanic Acid","Oral suspension","Amoxicillin 200 mg/5 mL + Clavulanic Acid 28.5 mg/5 mL, Amoxicillin 600 mg/5 mL + Clavulanic Acid 42.9 mg/5 mL","SDL",""
"Amoxicillin & Clavulanic Acid","Tablet","Amoxicillin 500 mg + Clavulanic Acid 125 mg, Amoxicillin 875 mg + Clavulanic Acid 125 mg","SDL",""
"Amphotericin B","Injection","50 mg","SDL",""
"Amphotericin B","Eye drops","1 mg/mL","SDL",""
"Ampicillin","Injection","0.5 g","SDL",""
"Anagrelide","Capsule","0.5 mg","MAF","Reduction of elevated platelet counts in patients with essential thrombocythaemia who are intolerant to their existing therapy or for whom other therapies are not considered appropriate"
"Anastrozole","Tablet","1 mg","SDL",""
"Anidulafungin","Infusion","100 mg","SDL",""
"Anti-Rabies Immunoglobulin","Injection","300 units/mL","SDL",""
"Apixaban","Tablet","2.5 mg, 5 mg","SDL",""
"Aprepitant","Capsule","80 mg","MAF","Prevention of chemotherapy-induced nausea and vomiting in patients receiving highly emetogenic chemotherapy"
"Aprepitant","Capsule","80 mg & 125 mg (Tripack)","SDL",""
"Aqueous Cream","Cream","Emulsifying Ointment 30% with either Chlorocresol 0.1% or Phenoxyethanol 0.1%","SDL",""
"Asciminib","Tablets","20 mg, 40 mg","MAF","Monotherapy for the treatment of patients with Philadelphia chromosome-positive chronic myeloid leukaemia in chronic phase whose disease is resistant and/or who are intolerant to two or more tyrosine kinase inhibitors. Asciminib is not recommended for patients with T315I mutation."
"Ascorbic Acid","Tablet","100 mg","SDL",""
"Ascorbic Acid","Injection","500 mg/5 mL","SDL",""
"Aspirin","Tablet","100 mg","SDL",""
"Atazanavir","Capsule","200 mg, 300 mg","SDL",""
"Atenolol","Tablet","50 mg, 100 mg","SDL",""
