"Project Number","Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued"
PX0318-000,N/A,"bevacizumab and lomustine","Recurrent glioblastoma multiform","Reimburse with clinical criteria and/or conditions",Complete,"Feb 17, 2023","Dec 20, 2023"
PX0380-000,N/A,ibrutinib,Hematology,"Reimburse with clinical criteria and/or conditions",Complete,"Feb 19, 2025","Dec 4, 2025"
SX0755-000,N/A,"guanfacine hydrochloride extended-release","Attention Deficit Hyperactivity Disorder (ADHD)","Reimburse with clinical criteria and/or conditions",Complete,"Mar 6, 2025",
SX0756-000,N/A,Aripiprazole,Depression,Reimburse,Complete,"Mar 11, 2025",
SX0757-000,n/a,tofacitinib,"Juvenile idiopathic arthritis, idiopathic arthritis","Reimburse with clinical criteria and/or conditions",Complete,"May 1, 2025",
PX0381-000,N/A,"brentuximab vedotin","Hodgkin lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"May 6, 2025","Feb 9, 2026"
PH0100-000,N/A,blinatumomab,"Acute Lymphocytic Leukemia",,Withdrawn,,
SX0755-001,N/A,"guanfacine hydrochloride extended-release","Attention Deficit Hyperactivity Disorder (ADHD)","Reimburse with clinical criteria and/or conditions",Complete,"Mar 6, 2025",
PX0372-000,N/A,trametinib,"Gynecological cancers","Reimburse with clinical criteria and/or conditions",Complete,"Aug 28, 2024","Apr 2, 2025"
PX0373-000,N/A,"Dabrafenib trametinib","Head and neck cancer","Reimburse with clinical criteria and/or conditions",Complete,"Oct 7, 2024","May 16, 2025"
SX0751-000,N/A,"dimethyl fumarate","Multiple Sclerosis (MS)","Reimburse with clinical criteria and/or conditions",Complete,"Jun 21, 2024","Feb 4, 2025"
SX0752-000,N/A,teriflunomide,"Multiple Sclerosis (MS)","Reimburse with clinical criteria and/or conditions",Complete,"Jun 21, 2024","Feb 4, 2025"
PX0371-000,N/A,"nivolumab ipilimumab",Melanoma,"Reimburse with clinical criteria and/or conditions",Complete,"Jun 25, 2024","Feb 4, 2025"
PX0364-000,N/A,imiquimod,"Gynecological cancers",,Withdrawn,"Mar 6, 2024",
PX0366-000,N/A,Enzalutamide,"Genito-urinary cancer (prostate cancer)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 30, 2024","Nov 26, 2024"
PX0374-000,N/A,regorafenib,"Metastatic osteosarcoma","Reimburse with clinical criteria and/or conditions",Complete,"Oct 7, 2024","May 27, 2025"
