"Project Number","Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued"
PG0240-000,Abecma,"idecabtagene vicleucel","Multiple myeloma","Do not reimburse",Complete,"Dec 16, 2020","Oct 27, 2021"
SR0183-000,Abilify,Aripiprazole,Schizophrenia,"Do not list",Complete,"Nov 6, 2009","Apr 27, 2010"
SF0226-000,Abilify,Aripiprazole,"Schizophrenia and related psychotic disorders","List with clinical criteria and/or conditions",Complete,"Mar 29, 2011","Jul 18, 2011"
SR0354-000,Abilify,Aripiprazole,"Depression, Major Depressive Disorder","Do not list",Complete,"Oct 1, 2013","Oct 22, 2014"
SR0366-000,"Abilify Maintena",Aripiprazole,Schizophrenia,"List with criteria/condition",Complete,"Jan 6, 2014","Dec 19, 2014"
PC0037-000,Abraxane,Nab-paclitaxel,"Metastatic Pancreatic Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Sep 23, 2014"
SR0240-000,Abstral,"Fentanyl citrate","Pain, breakthrough cancer pain","Do not list",Complete,"Jun 30, 2011","Dec 16, 2011"
SR0114-000,Aclasta,"Zoledronic acid","Osteoporosis, postmenopausal women","Do not list",Complete,"Nov 29, 2007","Jun 25, 2008"
SF0242-000,Aclasta,"Zoledronic acid",Osteoporosis,"List with clinical criteria and/or conditions",Complete,"Jul 20, 2011","Nov 16, 2011"
SR0267-000,Actemra,Tocilizumab,"Arthritis, juvenile idiopathic","List with clinical criteria and/or conditions",Complete,"Jan 30, 2012","Jul 19, 2012"
SR0201-000,Actemra,Tocilizumab,"Arthritis, Rheumatoid","List with clinical criteria and/or conditions",Complete,"May 27, 2010","Nov 17, 2010"
SR0343-000,Actemra,Tocilizumab,"Arthritis, polyarticular juvenile idiopathic","List with criteria/condition",Complete,"Jul 29, 2013","Mar 19, 2014"
SR0374-000,Actemra,Tocilizumab,"Arthritis, rheumatoid","List with criteria/condition",Complete,"Mar 3, 2014","Feb 19, 2015"
SR0534-000,Actemra,tocilizumab,"Giant cell arteritis (GCA)","Reimburse with clinical criteria and/or conditions",Complete,"Sep 25, 2017","Mar 27, 2018"
SR0498-000,Actikerall,"Fluorouracil and Salicylic Acid","Hyperkeratotic actinic keratosis","Reimburse with clinical criteria and/or conditions",Complete,"Aug 31, 2016","Mar 22, 2017"
PC0199-000,Adcetris,"Brentuximab Vedotin","peripheral T-cell lymphoma (PTCL)",Reimburse,Complete,,"Jun 4, 2020"
PC0021-000,Adcetris,"Brentuximab vedotin","Systemic Anaplastic Large Cell Lymphoma","Reimburse with clinical criteria and/or conditions",Complete,,"Dec 5, 2013"
PC0020-000,Adcetris,"Brentuximab vedotin","Hodgkin Lymphoma","Reimburse with clinical criteria and/or conditions",Complete,,"Aug 29, 2013"
PC0371-000,Adcetris,"Brentuximab vedotin","Hodgkin lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Apr 18, 2024","Aug 29, 2024"
PC0086-000,Adcetris,"Brentuximab vedotin",,,Withdrawn,,
PC0214-000,Adcetris,"Brentuximab Vedotin","Hodgkin lymphoma (HL) in combination with doxorubicin, vinblastine, and dacarbazine (AVD)","Reimburse with clinical criteria and/or conditions",Complete,,"Dec 3, 2020"
PC0213-000,Adcetris,"Brentuximab Vedotin","Primary cutaneous anaplastic large cell Lymphoma (pcALCL) or CD30-expressing mycosis fungoides (MF)","Reimburse with clinical criteria and/or conditions",Complete,,"Dec 3, 2020"
PC0116-000,Adcetris,"Brentuximab Vedotin","HL at high risk of relapse or progression post-ASCT","Reimburse with clinical criteria and/or conditions",Complete,,"Feb 21, 2018"
PC0311-000,Adcetris,"brentuximab vedotin","Hodgkin lymphoma",,Withdrawn,,
PC0145-000,"Adcetris (Resubmission)","Brentuximab Vedotin","Hodgkin lymphoma (HL)","Do not reimburse",Complete,,"Mar 7, 2019"
SR0197-000,Adcirca,Tadalafil,"Pulmonary arterial hypertension","List with clinical criteria and/or conditions",Complete,"Feb 5, 2010","Jul 15, 2010"
SR0010-000,"Adderall XR","Mixed amphetamine salts","Attention deficit hyperactivity disorder","Do not list",Complete,"Apr 13, 2004","Nov 24, 2004"
SR0116-000,"Adderall XR","Mixed amphetamine salts","Attention deficit hyperactivity disorder, Adult","Do not list",Complete,"Nov 29, 2007","Jun 25, 2008"
SR0027-000,"Adderall XR","Mixed amphetamine salts","Attention deficit hyperactivity disorder",,Withdrawn,"Dec 15, 2004",
SR0353-000,Adempas,Riociguat,"Chronic thromboembolic pulmonary hypertension","List with criteria/condition",Complete,"Sep 30, 2013","Jul 17, 2014"
SR0438-000,Adempas,Riociguat,"Pulmonary arterial hypertension (WHO group 1)","List with clinical criteria and/or conditions",Complete,"Jun 25, 2015","Dec 17, 2015"
SR0520-000,Adlyxine,lixisenatide,"Diabetes mellitus, Type 2","Reimburse with clinical criteria and/or conditions",Complete,"May 29, 2017","Nov 23, 2017"
SE0543-000,Admelog,"Insulin lispro",,,Cancelled,,
SR0787-000,Adtralza,tralokinumab,"atopic dermatitis (AD)","Do not reimburse",Complete,"Jun 5, 2023","May 8, 2024"
SR0689-000,Adtralza,tralokinumab,"atopic dermatitis","Do not reimburse",Complete,"Apr 27, 2021","Mar 7, 2022"
SR0705-000,Aduhelm,aducanumab,"Alzheimer’s disease",,Withdrawn,"Nov 26, 2021",
SR0042-000,Advicor,Niacin/lovastatin,"Hypercholesterolemia and mixed dyslipidemia",List,Complete,"Oct 18, 2005","Apr 26, 2006"
SR0539-000,"Aermony RespiClick","fluticasone propionate",Asthma,"Reimburse with clinical criteria and/or conditions",Complete,"Oct 4, 2017","Dec 19, 2018"
SR0315-000,Afinitor,Everolimus,"Renal angiomyolipoma associated with tuberous sclerosis complex (TSC)","Do not list",Complete,"Mar 8, 2013","Sep 25, 2013"
PC0007-000,Afinitor,Everolimus,"Pancreatic Neuroendocrine Tumour","Reimburse with clinical criteria and/or conditions",Complete,,"Aug 30, 2012"
PC0014-000,Afinitor,Everolimus,"Advanced Breast Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Mar 25, 2013"
PC0083-000,Afinitor,Everolimus,"Neuroendocrine tumors (NET) of Gastrointestinal or Lung origin","Reimburse with clinical criteria and/or conditions",Complete,,"Dec 1, 2016"
SR0376-000,Afinitor,Everolimus,"Subependymal giant cell astrocytoma associated with tuberous sclerosis complex","Do not list",Complete,"Mar 19, 2014","Apr 15, 2015"
SR0892-000,Agamree,vamorolone,"Duchenne muscular dystrophy (DMD)",,Active,"Jul 10, 2025",
SR0578-000,Aimovig,erenumab,Migraine,"Reimburse with clinical criteria and/or conditions",Complete,"May 2, 2019","Jul 22, 2020"
SR0641-000,Ajovy,fremanezumab,migraine,"Reimburse with clinical criteria and/or conditions",Complete,"Jun 3, 2020","Mar 24, 2021"
PC0326-000,Akeega,"niraparib abiraterone acetate","Metastatic castration-resistant prostate cancer (mCRPC)","Reimburse with clinical criteria and/or conditions",Complete,"Jun 14, 2023","Feb 1, 2024"
PC0460-000,Akeega,"niraparib and abiraterone acetate","Metastatic castration-sensitive prostate cancer (mCSPC)",,Pending,,
SR0548-000,Akynzeo,"netupitant / palonosetron","Nausea and vomiting (chemotherapy induced) prevention","Reimburse with clinical criteria and/or conditions",Complete,"Dec 8, 2017","Jun 20, 2018"
SR0711-000,Albrioza,"sodium phenylbutyrate and ursodoxicoltaurine","Amyotrophic lateral sclerosis (ALS)","Reimburse with clinical criteria and/or conditions",Complete,"Nov 24, 2021","Jul 21, 2022"
SR0032-000,Aldurazyme,Laronidase,"Mucopolysarccharidosis 1 (MPS 1), Hurler, Hurler-Scheie, Scheie","Do not list",Complete,"Feb 3, 2005","Jul 14, 2005"
PC0350-000,Alecensaro,alectinib,"ALK-positive NSCLC","Reimburse with clinical criteria and/or conditions",Complete,"Apr 18, 2024","Oct 30, 2024"
PC0092-000,Alecensaro,Alectinib,"Non-Small Cell Lung Cancer","Do not reimburse",Complete,,"May 4, 2017"
PC0114-000,Alecensaro,Alectinib,"Anaplastic Lymphoma Kinase-Positive, Locally Advanced or Metastatic Non-Small Cell Lung Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Mar 29, 2018"
PC0125-000,Alecensaro,Alectinib,"Locally advanced or metastatic ALK+ NSCLC (first line)","Reimburse with clinical criteria and/or conditions",Complete,,"Jul 25, 2018"
NS0045-000,Alhemo,concizumab,"Hemophilia A or B","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
PC0027-000,Alimta,Pemetrexed,"Advanced or Metastatic Non-Squamous Non-Small Cell Lung Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Nov 19, 2013"
SR0294-000,"Aloxi (capsule)","Palonosetron hydrochloride","Chemotherapy-induced nausea and vomiting","Do not list",Complete,"Oct 5, 2012","Apr 24, 2013"
SR0415-000,"Aloxi (capsule)",Palonosetron,"Chemotherapy-induced nausea and vomiting",,Withdrawn,"Feb 6, 2015",
SR0293-000,"Aloxi (injection)","Palonosetron hydrochloride","Chemotherapy-induced nausea and vomiting","Do not list at the submitted price",Complete,"Oct 5, 2012","May 15, 2013"
SR0766-000,Alsitek,"masitinib mesylate","Amyotrophic lateral sclerosis (ALS)",,Cancelled,"Oct 28, 2022",
SR0083-000,"Altace HCT",Ramipril/hydrochlorothiazide,Hypertension,,Cancelled,"Oct 26, 2006",
SR0095-000,"Altace HCT",Ramipril/hydrochlorothiazide,Hypertension,List,Complete,"Mar 26, 2007","Jun 14, 2007"
SR0067-000,"Altace Plus Felodipine","Ramipril/felodipine extended release",Hypertension,"Do not list",Complete,"Jun 22, 2006","Nov 15, 2006"
ST0840-000,Altuviiio,"efanesoctocog alfa","congenital factor VIII deficiency","Reimburse with clinical criteria and/or conditions",Complete,"Sep 18, 2024","May 20, 2025"
PC0167-000,Alunbrig,Brigatinib,NSCLC,"Do not reimburse",Complete,,"Aug 1, 2019"
PC0230-000,Alunbrig,Brigatinib,"(ALK)-positive locally advanced (not amenable to curative therapy) or metastatic non-small cell lung cancer (NSCLC)","Reimburse with clinical criteria and/or conditions",Complete,,"Apr 21, 2021"
SR0074-000,Alvesco,Ciclesonide,asthma,List,Complete,"Jul 24, 2006","Dec 20, 2006"
SR0896-000,Alyftrek,"vanzacaftor, tezacaftor, deutivacaftor","Cystic fibrosis, F508del or responsive CFTR mutation, 6 years and older","Reimburse with clinical criteria and/or conditions",Complete,"May 9, 2025","Nov 13, 2025"
SR0053-000,Amevive,Alefacept,"Psoriasis, moderate to severe chronic plaque","Do not list",Complete,"Feb 28, 2006","Sep 27, 2006"
SR0024-000,Amevive,Alefacept,"Psoriasis, moderate to severe chronic plaque","Do not list",Complete,"Nov 16, 2004","May 26, 2005"
PG0457-000,Amtagvi,lifileucel,"Metastatic melanoma",,Pending,,
SR0801-000,Amvuttra,vutrisiran,"Hereditary transthyretin mediated amyloidosis (hATTR amyloidosis)","Reimburse with clinical criteria and/or conditions",Complete,"Jul 4, 2023","Jan 29, 2024"
SR0904-000,Amvuttra,vutrisiran,"wild-type or hereditary transthyretin-amyloidosis","Reimburse with clinical criteria and/or conditions",Active,"Jul 9, 2025",
SR0860-000,Andembry,garadacimab,"Hereditary angioedema  (HAE)","Reimburse with clinical criteria and/or conditions",Active,"Jul 31, 2024","Jan 8, 2026"
SR0371-000,"Anoro Ellipta",Umeclidinium/vilanterol,"Chronic obstructive pulmonary disease","List with criteria/condition",Complete,"Feb 26, 2014","Jan 15, 2015"
SR0875-000,Anzupgo,delgocitinib,"Chronic hand eczema","Reimburse with clinical criteria and/or conditions",Complete,"Nov 25, 2024","Nov 13, 2025"
SR0144-000,Apidra,"Insulin glulisine","Diabetes, Mellitus (Type 1 & 2)","List in a similar manner to other drugs in class",Complete,"Aug 29, 2008","Feb 19, 2009"
SR0279-000,Apprilon,"Doxycycline monohydrate",Rosacea,"Do not list",Complete,"Apr 27, 2012","Mar 27, 2013"
SR0825-000,Apretude,cabotegravir,"HIV-1 infection, pre-exposure prophylaxis","Reimburse with clinical criteria and/or conditions",Complete,"Feb 1, 2024","Aug 14, 2024"
SR0391-000,Aptiom,"Eslicarbazepine acetate","Epilepsy, partial-onset seizures","List with criteria/condition",Complete,"Aug 15, 2014","Apr 16, 2015"
SR0047-000,Aptivus,Tipranavir,"HIV infection","List with clinical criteria and/or conditions",Complete,"Dec 15, 2005","May 17, 2006"
SR0540-000,"Arbesda RespiClick","fluticasone propionate / salmeterol xinafoate",Asthma,"Reimburse with clinical criteria and/or conditions",Complete,"Oct 4, 2017","Dec 19, 2018"
SR0439-000,"Arnuity Ellipta","Fluticasone furoate",Asthma,"List with criteria/condition",Complete,"Jun 26, 2015","Dec 17, 2015"
PC0038-000,Arzerra,Ofatumumab,"Chronic Lymphocytic Leukemia","Do not reimburse",Complete,,"Jan 29, 2015"
SR0258-000,ASMANEX,"Mometasone furoate",Asthma,List,Complete,"Nov 10, 2011","May 16, 2012"
PC0321-000,Asparlas,"calaspargase pegol","Acute lymphoblastic leukemia (ALL)","Reimburse with clinical criteria and/or conditions",Complete,"May 12, 2023","Jan 4, 2024"
SR0646-000,"Atectura Breezhaler","indacaterol /mometasone furoate","Asthma maintenance (adults, children 12 or older)","Reimburse with clinical criteria and/or conditions",Complete,"May 19, 2020","Nov 24, 2020"
PC0307-000,Atriance,nelarabine,"T-cell acute lymphoblastic leukemia","Reimburse with clinical criteria and/or conditions",Complete,"Mar 6, 2023","Sep 29, 2023"
PC0170-000,Atriance,Nelarabine,,,Cancelled,,
SR0111-000,Atripla,"Efavirenz, emtricitabine, tenofovir disoproxil fumarate",HIV,"List with clinical criteria and/or conditions",Complete,"Oct 30, 2007","Apr 17, 2008"
SR0350-000,Aubagio,Teriflunomide,"Multiple sclerosis, relapsing-remitting","Do not list at the submitted price",Complete,"Aug 28, 2013","Jun 18, 2014"
PC0045-000,Avastin,Bevacizumab,"Cervical Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Mar 23, 2015"
PC0047-000,Avastin,Bevacizumab,"Ovarian Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Jun 4, 2015"
PC0066-000,Avastin,Bevacizumab,"Platinum Resistant Ovarian Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"May 5, 2016"
PC0100-000,Avastin,Bevacizumab,,,Withdrawn,,
PC0055-000,"Avastin (with capecitabine)",Bevacizumab,"Metastatic Colorectal Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Jul 21, 2015"
SR0019-000,Avodart,Dutasteride,"Prostatic hyperplasia, benign","List in a similar manner to other drugs in class",Complete,"Aug 24, 2004","Jan 20, 2005"
SR0790-000,Awiqli,"insulin icodec","Diabetes mellitus, type 2","Reimburse with clinical criteria and/or conditions",Complete,"Oct 18, 2023","May 17, 2024"
SR0005-000,Axert,Almotriptan,Migraine,"List in a similar manner to other drugs in class",Complete,"Dec 24, 2003","May 27, 2004"
PC0416-000,Ayvakyt,avapritinib,"Indolent systemic mastocytosis (ISM)",,Active,"Jul 10, 2025",
PC0335-000,Ayvakyt,avapritinib,"Advanced Systemic Mastocytosis","Reimburse with clinical criteria and/or conditions",Complete,"Apr 19, 2024","Oct 31, 2024"
SR0173-000,Azarga,"Brinzolamide and timolol maleate suspension","Glaucoma and ocular hypertension","List in a similar manner to other drugs in class",Complete,"Aug 28, 2009","Feb 18, 2010"
SF0161-000,Azilect,"Rasagiline mesylate","Parkinson's disease",N/A,Complete,"Mar 10, 2009",
SR0073-000,Azilect,"Rasagiline mesylate","Parkinson's disease","Do not list",Complete,"Sep 1, 2006","Mar 28, 2007"
PC0375-000,Balversa,erdafitinib,"locally advanced unresectable or metastatic urothelial carcinoma (UC)","Reimburse with clinical criteria and/or conditions",Complete,"Jun 14, 2024","Jan 9, 2025"
SR0252-000,Banzel,Rufinamide,"Lennox-Gastaut syndrome","List with clinical criteria and/or conditions",Complete,"Sep 20, 2011","Mar 15, 2012"
SR0626-000,Baqsimi,glucagon,"Severe hypoglycemic reactions","Reimburse with clinical criteria and/or conditions",Complete,"Jul 24, 2019","Jan 22, 2020"
SR0089-000,Baraclude,Entecavir,"Hepatitis B (chronic)","List with clinical criteria and/or conditions",Complete,"Dec 12, 2006","Nov 28, 2007"
SE0451-000,Basaglar,"Insulin glargine","Diabetes mellitus, type 1; diabetes mellitus, type 2","List with clinical criteria and/or conditions",Complete,"Oct 5, 2015","Apr 14, 2016"
PC0225-000,Bavencio,Avelumab,"Urothelial Carcinoma (UC)","Reimburse with clinical criteria and/or conditions",Complete,,"Mar 23, 2021"
PC0124-000,Bavencio,Avelumab,"metastatic Merkel Cell Carcinoma (mMCC)","Reimburse with clinical criteria and/or conditions",Complete,,"Mar 21, 2018"
PC0139-000,Beleodaq,Belinostat,,,Withdrawn,,
SR0746-000,Benlysta,belimumab,"Lupus nephritis","Reimburse with clinical criteria and/or conditions",Complete,"Jul 7, 2022","Jan 19, 2023"
SR0251-000,Benlysta,Belimumab,"Systemic lupus erythematosus","Do not list",Complete,"Sep 19, 2011","Apr 25, 2012"
SR0616-000,Benlysta,Belimumab,"systemic lupus erythematosus","Do not reimburse",Complete,"May 29, 2019","Apr 22, 2020"
SR0747-000,Beovu,brolucizumab,"Diabetic macular edema","Reimburse with clinical criteria and/or conditions",Complete,"Jun 30, 2022","Jan 18, 2023"
SR0632-000,Beovu,brolucizumab,"Macular degeneration, age-related","Reimburse with clinical criteria and/or conditions",Complete,"Sep 26, 2019","May 21, 2020"
SG0802-000,Beqvez,"fidanacogene elaparvovec","Hemophilia B","Reimburse with clinical criteria and/or conditions",Complete,"Aug 1, 2023","Feb 16, 2024"
PC0121-000,Besponsa,"Inotuzumab Ozogamicin","Acute Lymphoblastic Leukemia (ALL)","Reimburse with clinical criteria and/or conditions",Complete,,"Jul 6, 2018"
PC0445-000,Besremi,"ropeginterferon alfa-2b","Polycythemia vera",,Received,"Apr 16, 2026",
SR0697-000,Bijuva,"estradiol and progesterone","Vasomotor symptoms associated with menopause","Reimburse with clinical criteria and/or conditions",Complete,"Jun 30, 2021","Feb 10, 2022"
SR0567-000,Biktarvy,"bictegravir/emtricitabine/tenofovir alafenamide","HIV-1 infection","Reimburse with clinical criteria and/or conditions",Complete,"Apr 30, 2018","Oct 25, 2018"
SR0698-000,Bimzelx,bimekizumab,"Psoriasis, moderate to severe plaque","Reimburse with clinical criteria and/or conditions",Complete,"Aug 17, 2021","Mar 30, 2022"
SR0809-000,Bimzelx,bimekizumab,"Ankylosing spondylitis","Reimburse with clinical criteria and/or conditions",Complete,"Oct 19, 2023","May 16, 2024"
SR0856-000,Bimzelx,bimekizumab,"Hidradenitis suppurative",,Active,"Oct 18, 2024",
SR0803-000,Bimzelx,bimekizumab,"Psoriatic arthritis","Reimburse with clinical criteria and/or conditions",Complete,"Oct 5, 2023","May 15, 2024"
PC0380-000,"Blenrep and BPd","belantamab mafodotin, pomalidomide, dexamethasone","Previously treated multiple myeloma","Reimburse with clinical criteria and/or conditions",Active,"Dec 19, 2024","Oct 9, 2025"
PC0379-000,"Blenrep and BVd","belantamab mafodotin, bortezomib, dexamethasone","Previously treated multiple myeloma","Reimburse with clinical criteria and/or conditions",Complete,"Dec 19, 2024","Oct 10, 2025"
PC0365-000,Blincyto,blinatumomab,"B-cell precursor acute lymphoblastic leukemia","Reimburse with clinical criteria and/or conditions",Complete,"Oct 18, 2024","May 1, 2025"
PC0064-000,Blincyto,Blinatumomab,"Acute Lymphoblastic Leukemia","Reimburse with clinical criteria and/or conditions",Complete,,"Apr 1, 2016"
PC0143-000,Blincyto,Blinatumomab,,,Withdrawn,,
PC0204-000,Blincyto,Blinatumomab,"MRD+ ALL Resubmission","Reimburse with clinical criteria and/or conditions",Complete,,"Sep 3, 2020"
"PC0099 -000",Blincyto,Blinatumomab,"Acute Lymphoblastic Leukemia (pediatric)","Reimburse with clinical criteria and/or conditions",Complete,,"Aug 23, 2017"
PC0146-000,Blincyto,Blinatumomab,"Philadelphia chromosome positive (Ph+) B-cell precursor (BCP) acute lymphoblastic leukemia (ALL)","Reimburse with clinical criteria and/or conditions",Complete,,"Apr 4, 2019"
PC0097-000,"Blincyto (Resubmission)",Blinatumomab,"Acute Lymphoblastic Leukemia (ALL)","Reimburse with clinical criteria and/or conditions",Complete,,"Aug 31, 2017"
PC0039-000,Bosulif,Bosutinib,"Chronic Myeloid Leukemia","Reimburse with clinical criteria and/or conditions",Complete,,"Apr 21, 2015"
PA0002-000,"Bosulif (RFA)",Bosutinib,"Chronic Myeloid Leukemia",N/A,Complete,,
SR0584-000,Botox,onabotulinumtoxinA,"Migraine, chronic","Reimburse with clinical criteria and/or conditions",Complete,"Nov 2, 2018","Oct 17, 2019"
SR0268-000,Botox,OnabotulinumtoxinA,"Neurogenic detrusor overactivity","List with clinical criteria and/or conditions",Complete,"Jan 31, 2012","Jul 19, 2012"
SR0345-000,Botox,OnabotulinumtoxinA,Migraine,"Do not list",Complete,"Aug 15, 2013","May 28, 2014"
SR0362-000,Botox,OnabotulinumtoxinA,"Urinary incontinence","List with criteria/condition",Complete,"Nov 25, 2013","Nov 12, 2014"
PC0233-000,Braftovi,encorafenib,"Metastatic colorectal cancer","Reimburse with clinical criteria and/or conditions",Complete,"Dec 16, 2020","Jul 8, 2021"
PC0428-000,Braftovi,encorafenib,"Metastatic colorectal cancer with a BRAF V600E mutation","Reimburse with clinical criteria and/or conditions",Active,"Aug 19, 2025","Mar 5, 2026"
PC0232-000,"Braftovi and Mektovi","encorafenib and binimetinib","Advanced Melanoma","Reimburse with clinical criteria and/or conditions",Complete,"Dec 16, 2020","Jul 8, 2021"
SE0485-000,Brenzys,Etanercept,"Rheumatoid arthritis, Ankylosing spondylitis","Reimburse with clinical criteria and/or conditions",Complete,"Apr 20, 2016","Oct 25, 2016"
SR0442-000,"Breo Ellipta","Fluticasone Furoate and Vilanterol (as trifenatate)",Asthma,"List with clinical criteria and/or conditions",Complete,"Aug 10, 2015","Feb 18, 2016"
SR0358-000,"Breo Ellipta","Fluticasone furoate /vilanterol","Chronic Obstructive Pulmonary Disease (COPD)","List with criteria/condition",Complete,"Oct 29, 2013","Aug 18, 2014"
SR0568-000,"Breo Ellipta","fluticasone furoate/vilanterol",Asthma,,Withdrawn,"May 2, 2018",
SR0524-000,"Breo Ellipta","fluticasone furoate/vilanterol",COPD,,Withdrawn,"Jun 28, 2017",
PG0258-000,Breyanzi,"lisocabtagene maraleucel","Relapsed or refractory large B-cell lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Aug 9, 2021","Jun 29, 2022"
PG0358-000,Breyanzi,"lisocabtagene maraleucel","Relapsed or refractory large B-cell lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"May 8, 2024","Nov 27, 2024"
SR0675-000,"Breztri Aerosphere","budesonide/ glycopyrronium /formoterol fumarate","chronic obstructive pulmonary disease (COPD)","Reimburse with clinical criteria and/or conditions",Complete,"Jan 28, 2021","Aug 26, 2021"
SR0203-000,Brilinta,Ticagrelor,"Acute Coronary Syndromes",,Cancelled,"Jun 8, 2010",
SR0234-000,Brilinta,Ticagrelor,"Acute coronary syndromes","Do not list",Complete,"Jun 1, 2011","Dec 16, 2011"
SR0474-000,Brilinta,ticagrelor,"Prevention of atherothrombotic events with history of myocardial infarction","Reimburse with clinical criteria and/or conditions",Complete,"Feb 18, 2016","Aug 25, 2016"
SR0574-000,Brineura,"cerliponase alfa","Neuronal Ceroid Lipofuscinosis Type 2","Reimburse with clinical criteria and/or conditions",Complete,"Jul 31, 2018","May 23, 2019"
SR0484-000,Brivlera,Brivaracetam,"Epilepsy, partial-onset seizures","Reimburse with clinical criteria and/or conditions",Complete,"Apr 19, 2016","Jan 25, 2017"
PC0310-000,Brukinsa,zanubrutinib,"Chronic lymphocytic leukemia /small lymphocytic lymphoma.","Reimburse with clinical criteria and/or conditions",Complete,"Jan 20, 2023","Sep 1, 2023"
PC0267-000,Brukinsa,zanubrutinib,"Mantle cell lymphoma (MCL)","Do not reimburse",Complete,"Sep 30, 2021","Jul 27, 2022"
PC0449-000,Brukinsa,zanubrutinib,"Relapsed or refractory grade 1, 2 or 3a follicular lymphoma",,Pending,,
PC0248-000,Brukinsa,zanubrutinib,"Waldenström’s macroglobulinemia","Reimburse with clinical criteria and/or conditions",Complete,"May 21, 2021","Dec 1, 2021"
SR0211-000,BuTrans,"Buprenorphine transdermal patch","Pain, persistent (moderate intensity)",,Cancelled,"Oct 15, 2010",
SR0233-000,BuTrans,"Buprenorphine transdermal patch","Pain, moderate intensity persistent pain","Do not list",Complete,"May 9, 2011","Sep 28, 2011"
SR0246-000,Byetta,Exenatide,"Diabetes mellitus, type 2","Do not list",Complete,"Aug 23, 2011","Jul 19, 2012"
SR0884-000,Bylvay,odevixibat,"Alagille syndrome","Reimburse with clinical criteria and/or conditions",Complete,"Feb 28, 2025","Sep 11, 2025"
SR0788-000,Bylvay,odevixibat,"Progressive familial intrahepatic cholestasis (PFIC)","Reimburse with clinical criteria and/or conditions",Complete,"Jun 23, 2023","Feb 13, 2024"
SR0307-000,Bystolic,Nebivolol,Hypertension,"Do not list at the submitted price",Complete,"Feb 4, 2013","Jul 18, 2013"
SR0736-000,Cablivi,caplacizumab,"Acquired thrombotic thrombocytopenic purpura (aTTP)","Do not reimburse",Complete,"Jun 7, 2022","Apr 5, 2023"
SR0633-000,Cablivi,caplacizumab,"Acquired thrombotic thrombocytopenic purpura (aTTP)","Do not reimburse",Complete,"Sep 13, 2019","Aug 26, 2020"
SR0912-000,Cablivi,caplacizumab,"acquired Thrombotic thrombocytopenic purpura (aTTP)",,Active,"Sep 18, 2025",
PC0186-000,Cabometyx,Cabozantinib,HCC,"Reimburse with clinical criteria and/or conditions",Complete,,"Apr 22, 2020"
PC0312-000,Cabometyx,cabozantinib,"Advanced or metastatic renal cell carcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Feb 17, 2023","Nov 3, 2023"
PC0287-000,Cabometyx,cabozantinib,"Differentiated thyroid carcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Apr 27, 2022","Nov 2, 2022"
PC0456-000,Cabometyx,cabozantinib,"Hepatocellular Carcinoma",,Received,"Mar 25, 2026",
PC0163-000,Cabometyx,Cabozantinib,"Renal Cell Carcinoma (RCC)","Reimburse with clinical criteria and/or conditions",Complete,,"Feb 20, 2019"
SR0794-000,Cabtreo,"clindamycin plus benzoyl peroxide and adapalene","acne vulgaris","Reimburse with clinical criteria and/or conditions",Complete,"Mar 8, 2024","Oct 18, 2024"
SR0048-000,Caduet,"Amlodipine besylate/ atorvastatin calcium","Hypertension/ Dyslipidemia","List with clinical criteria and/or conditions",Complete,"Dec 15, 2005","May 17, 2006"
PC0211-000,Calquence,Acalabrutinib,"Chronic Lymphocytic Leukemia (CLL)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 7, 2020",
PC0412-000,Calquence,acalabrutinib,"Chronic lymphocytic leukemia (CLL)","Reimburse with clinical criteria and/or conditions",Active,"Jun 24, 2025","Jan 9, 2026"
PC0413-000,Calquence,acalabrutinib,"Mantle cell lymphoma (MCL)","Reimburse with clinical criteria and/or conditions",Complete,"Mar 26, 2025","Oct 2, 2025"
PC0210-000,Calquence,Acalabrutinib,"Chronic Lymphocytic Leukemia (CLL) / Small Lymphocytic Lymphoma (SLL)","Reimburse with clinical criteria and/or conditions",Complete,,"Jan 8, 2021"
PC0211-000,Calquence,Acalabrutinib,"Chronic Lymphocytic Leukemia (CLL)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 7, 2020","Nov 17, 2020"
PC0370-000,Camcevi,"leuprolide mesylate","Prostate cancer","Reimburse with clinical criteria and/or conditions",Complete,"Nov 22, 2024","Jul 4, 2025"
